song,text,label
Hart tegen hart,"hart tegen hart



Wees niet bang, loop recht vooruit en zeg zachte lieve woorden 

De deur staat wijd open, ik hoop dat je lacht en dat je me nog hoort 

Als ik hardop denk aan de nacht 

Die we vonden op straat en die niemand echt verwachtte 

En als ik zeg dat wilde verwarring je veel beter staat 

Dan je zelf ooit had gedacht 



Hart tegen hart 

Het kan niet dichterbij 

Het mijne houdt me in 

Het jouwe laat me vrij 

Hart tegen hart 

Ze kloppen allebei 

Het mijne in jou, het jouwe in mij 



Twijfel niet, kijk door mij heen, onze zielen zijn al oud 

Laat de deur open, en blijf niet staan bij wat je niet vertrouwt 

Neem van mij het vuur en de kracht 

Die je nodig hebt om opnieuw te leren lopen 

En schrik niet van de wilde verwarring die mij veel beter staat 

Dan ik ooit had durven hopen 



Hart tegen hart 

Het kan niet dichterbij 

Het mijne houdt me in 

Het jouwe laat me vrij 

Hart tegen hart 

Ze kloppen allebei 

Het mijne in jou, het jouwe in mij 



Een mooi en groot verlangen 

Zet ons naast elkaar 

Verklaar het niet, verklaar het niet 

De wereld is nooit af 

Ik kus je tranen weg 

Vaar wel op de mijne 

Maar verlaat me niet, verlaat me niet... 



Hart tegen hart 

Het kan niet dichterbij 

Het mijne houdt me in 

Het jouwe maakt me vrij 

Hart tegen hart 

Ze kloppen allebei 

Het mijne in jou, het jouwe in mij 

Ik ben jou 

Jij bent mij",blof
Beter,"Wachtend tot de zon opkomt

Is een manier om altijd weer het licht te zien

En de nacht weer te vergeten

Starend naar de horizon

Heeft iets van niet meer kijken

Van steeds weer verder reiken

Naar wat jij eerst niet kon



Het wordt beter

Met elkaar wordt het beter

En we weten dat morgen vlakbij is

En zo weer voorbij is

We zijn groter

Bij elkaar zijn we groter

Dus we proosten op dagen

Vol zonlicht dat ieder gewicht dragen kan



Varend op een verre ster

Is een manier om altijd weer een weg te zien

En hoe je thuis kunt komen

Lichaam aan het evenwicht

Als dansen op een koord

Geeft toch een vergezicht

Het heeft wel iets van dromen



Het wordt beter

Met elkaar wordt het beter

En we weten dat morgen vlakbij is

En zo weer voorbij is

We zijn groter

Bij elkaar zijn we groter

Dus we proosten op dagen

Vol zonlicht dat ieder gewicht dragen kan



Laat mijn hand niet

Laat mijn hand niet gaan

Je hoeft dit niet alleen te doen

Laat mijn hand niet

Laat mijn hand niet gaan

Je hoeft dit niet alleen te doen



Het wordt beter

Met elkaar wordt het beter

En we weten dat morgen vlakbij is

En zo weer voorbij is

We zijn groter

Bij elkaar zijn we groter

Dus we proosten op dagen

Vol zonlicht dat ieder gewicht dragen kan",blof
Omhels me dan,"Quero ir-me embora, 

o meu coracao deixar. 

Por o seu veneno fora, 

e de ti me curar. 



En quero perder-te, 

para de novo te ganhar. 

E no labirinto das penas, 

aprender a te amar. 



Abrace-me, abrace-me e beija-me, deseja-me 

Aperte-me berm forte contra ti. 

Abrace-me, abrace-me e beija-me, deseja-me 

E deixa-me um pouco morrer por ti 



Spijt heb ik niet meer, 

van wat ik je ooit zei. 

Van wat ik alsmaar voel 

en wat jij niet voelt voor mij. 



Tijd neemt echt geen keer, 

de dingen gaan voorbij. 

Maar de zaken van het hart, 

maken mij steeds minder vrij. 



Spreek niet van vergeten, 

spreek niet over tijd. 

Spreek niet over later, 

want later ben ik kwijt. 



Omhels me dan, omhels me dan, 

je weet dat ik niet zonder kan. 

Mijn hart is veel te groot, 

dus druk me nu maar zachtjes dood. 



Omhels me dan, omhels me dan, 

je weet dat ik niet zonder kan. 

Maar als ik dan toch zonder moet, 

verlos me dan. 



Diz-mo, quero ouvir, 

o que nao te ouco mais dizer. 

Quero fazer-te sentir, 

que por ti espero. 



Draaiend om je heen, 

ontdek ik bij mezelf. 

Dat ik maar de helft ben, 

een halve man alleen. 



Quero fazer-te sofrer, nao por eu te querer mal 

Mas por eu nao te poder dizer. 

O quanto te quero. 

Quero ver-te cair, 

para te poder levantar 

Da indiferenca te fazer sair, escutar-te chorar. 



Omhels me dan, omhels me dan, 

je weet dat ik niet zonder kan 

Maar als ik dan toch zonder moet, 

verlos me dan. 



Omhels me dan, omhels me dan, 

je weet dat ik niet zonder kan 

Mijn hart is veel te groot, 

dus druk me nu maar zachtjes dood. 



Omhels me dan, omhels me dan, 

je weet dat ik niet zonder kan. 

Maar al ik dan toch zonder moet,

verlos me dan.



Omhels me dan, omhels me dan, 

je weet dat ik niet zonder kan 

Mijn hart is veel te groot, 

dus druk me nu maar zachtjes dood. 



Abrace-me, abrace-me e beija-me, deseja-me 

Aperte-me berm forte contra ti. 

Abrace-me, abrace-me e beija-me, deseja-me 

E deixa-me um pouco morrer por ti 



Spijt heb ik niet meer,

van wat ik je ooit zei 

Van wat ik alsmaar voel 

en wat jij niet voelt voor mij. 



Omhels me dan

abrace-me",blof
Donker Hart,"Blof Donker hart



In het midden van de kring

waar ze je helemaal omringen

en op de toppen van je kunnen

denk je soms opeens: 

je doet het niet voor hun

je doet het niet voor mij

en zelfs niet voor jezelf

je bent de zin voorbij



Want,jij hebt een donker hart

voelt je vaak verward

maar dat wil niet zeggen

dat alles dan

alles dan 

alles dan ook meteen zinloos is

jij loopt nog niet zo hard 

maar een slechte start 

wil niet altijd zeggen

dat alles dan 

alles dan

alles dan ook meteen over is



ze vroegen je ten dans 

en het bood je alle kansen 

om het beste dat je in je had 

aan iedereen te laten zien

maar je doet het niet voor hun

je doet het niet voor mij

en zelfs niet voor jezelf

je bent de zin voorbij



Want, jij hebt een donker hart

voelt je vaak verward

maar dat wil niet zeggen

dat alles dan

alles dan 

alles dan ook meteen zinloos is

jij loopt nog niet zo hard 

maar een slechte start 

wil niet altijd zeggen

dat alles dan 

alles dan

alles dan ook meteen over is



Want, jij hebt een donker hart

voelt je vaak verward

maar dat wil niet zeggen

dat alles dan 

alles dan

alles dan ook meteen zinloos is

jij loopt nog niet zo hard 

maar een slechte start 

wil niet altijd zeggen

dat alles dan 

alles dan

alles dan ook meteen over is",blof
Droomkoningin,"Toen mijn koningin nog een klein prinsesje was 

Keek ik haar altijd na op straat en vroeg me telkens af 

Komt er ooit een dag voordat ik sterf 

Waarop ik onze namen in een boomstam kerf 

O, komt ooit die dag, mij hemelse geschenk 

Waarop zij naar me kijkt en weet wat ik dan denk 

O, komt ooit die dag, o zo mooi 

O, vertel het mij 

 

Droomkoningin bestijgt haar troon 

Ze tilt haar rokken op 

Droomkoningin is ongekroond 

Maar zij treedt stap voor stap hogerop 

 

Toen mijn koningin nog een klein prinsesje was 

Wist ik dat zij de Ene was en vroeg me telkens af 

Komt er ooit een dag, zo mooi en groot 

Waarop ik voor haar vecht en draken dood 

O, komt ooit die dag waar ik al lang op wacht 

Waarop ze me ziet staan en straalt in al haar pracht 

O, komt ooit die dag, o zo mooi 

O, vertel het mij 

 

Droomkoningin bestijgt haar troon 

Ze tilt haar rokken op 

Droomkoningin is ongekroond 

Maar zij treedt stap voor stap hogerop (2x) 

 

Mijn koningin is nu de vrouw die ik al zag 

Nog steeds kijk ik haar na op straat en vraag me telkens af 

Komt er ooit een dag, zo wonderbaar 

Dat we onze ogen opslaan na elkaar 

O, komt ooit die dag, die ons voorgoed verbindt 

Waarop ze naar me reikt en mij met wit verblindt 

O, komt ooit die dag, o zo mooi 

O, vertel het mij 

 

Droomkoningin bestijgt haar troon 

Ze tilt haar rokken op 

Droomkoningin is ongekroond 

Maar zij treedt stap voor stap hogerop (2x)",blof
Geen idee,"Ik ben niet verliefd

Maar wel een beetje in de war

Door wat je gisteravond zei

Ik zei niets en zat erbij

Ik dacht alleen

Dat nu de twijfel wel weer toe zou slaan

Ik had gelijk



Ik ben niet verliefd

Maar wel een beetje in de war

Was wat je gisteravond zei

Dat alles anders wordt door mij

Dat alles open ligt

Nu jij weet wie ik ben



refr.:

    Ik heb geen idee

    Wat ik met je aan moet

    Ik heb geen idee



refr.



Ik ben niet verliefd

Maar wel een beetje in de war

Wat je gisteravond zei

Blijft me heel de dag al bij

Als een lied

En ik ben blij dat jij er bent



Ik weet nooit wat ik wil

Enerzijds en anderzijds

Voeren altijd strijd in mij



refr.(2x)",blof
Dicterbij dan ooit,"Liever kwijt zijn waar je echt van houdt

dan iets houden wat je toch niet mist

Liever buiten ook al is het koud

dan naar binnen als daar niets meer is



Hier is niks om voor te blijven

dit is alleen nog wat er was

En dat neem ik mee voor altijd, voor altijd



Wie legt me uit hoe alles werkt 

hoe groot het gat is tussen nu en nooit

En hoe het komt dat ik nu merk

Jij bent weg maar dichterbij dan ooit



Liever vragen naar de langste weg

dan een antwoord dat je stil doet staan

Liever zeggen wat ik zelden zeg

dan verzwijgen dat ik door moet gaan



Ik hoef jou niks te vertellen

wat ik niet al had gezegd

Met mijn mond of met mijn ogen voor altijd



Wie legt me uit hoe alles werkt 

hoe groot het gat is tussen nu en nooit

En hoe het komt dat ik nu merk

Jij bent weg maar dichterbij dan ooit



Liever lachen om wat is geweest

dan iets vrezen wat nog komt misschien

Liever houden van een grote geest

dan iets haten wat je niet kunt zien



Ik hoef jou niks uit te leggen

het ligt hier open tussenin

En ik maak een laatste buiging voor altijd



Wie legt me uit hoe alles werkt 

hoe groot het gat is tussen nu en nooit

En hoe het komt dat ik nu merk

Jij bent echt waar dichterbij dan ooit",blof
Halverwege,"Het is goed zolang het duurt 

 

Hele jaren, of een uur 

 

Maar neem wat van jou is 

 

Neem mijn liefde, neem mijn vuur 

 

Het is mooi zover het gaat 

 

Heel de wereld, of de straat 

 

Maar neem wat van jou is 

 

Neem mijn liefde, neem mijn haat 

 

Als je weggaat 

 

Doe dan net alsof we halverwege zijn 

 

Halverwege 

 

Zo ver nog van het eind. 

 

Het blijft warm zolang het brandt 

 

Heel je hart, je verstand 

 

Dus neem wat van jou is 

 

Neem mijn lijf in je hand 

 

Als je weggaat 

 

Doe dan net alsof we halverwege zijn 

 

Halverwege 

 

Zo ver nog van het eind 

 

Wees dan stil 

 

Zeg dan niets tegen de pijn 

 

Halverwege 

 

Maar geef me het gevoel 

 

Dat ik terugkan 

 

Als je weggaat 

 

Doe dan net alsof we halverwege zijn 

 

Halverwege 

 

Zo ver nog van het eind 

 

Wees dan stil 

 

Zeg dan niets tegen de pijn 

 

Halverwege 



Halverwege



als jij weggaat..",blof
Halt Mich,"nehm meine träume für bare münze

schwelge in phantasien 

hab mich in dir gefangen

weiß nicht wie mir geschieht

Ich wärm mich an deiner stimme

leg mich zur ruhe in deinen arm

halt mich, nur ein bißchen

bis ich schlafen kann



Mijn wrakken zijn geborgen

Mijn hart is vrij van angst

Geen seconde of minuten

Eeuwig duurt het langst

Ik hoef niet meer te zoeken

Je bent mijn overvloed

Ik geef me aan je over

Je zit me in het bloed



bin vor freude außer mir

will langsam mit dir untergehn 

kopflos, sorglos, schwerelos in dir verliern

deck mich zu mit zärtlichkeiten

nimm im sturm, die nacht ist kurz

friedvoll, liebestoll, überwältigt von dir

Dass ist so schön daß es dich gibt



komm erzähl mir was

plauder auf mich ein

ich will mich an dir satthörn

immer mit dir sein

betanke mich mit leben

laß mich in deinem arm

halt mich, nur ein bißchen

bis ich schlafen kann

Ooohh halt mich, daß ich schlafen kann",blof
Eén en alleen,"Ben ik hier voor mezelf?

of ben ik hier vooral voor jou?

Ben ik hier precies op tijd?

Ben je hier uit vrije wil

of maakt het eigenlijk geen verschil

ben je hier alleen voor mij?

Misschien dat ik weer verder ga

misschien dat jij nog naar me zwaait

misschien dat ik nog even blijf

misschien dat jij me iets verwijt

en misschien dat het je spijt

zoals zo vaak



Want wij, een en alleen

we gaan voorbij 

zonder een woord als iedereen

en jij, waar wil je heen?

je kijkt naar mij 

en ik vraag me af wat goed is voor ons allebei

Op blote voeten loop ik langzaam door

We zijn één



Zijn we hier voor elkaar?

zijn we hier nog volgend jaar?

zijn we hier en voelt het goed?

Zijn we hier voor iets groots?

of zijn we hier tot aan de dood?

of zijn we toch maar vlees en bloed?

misschien dat ik weer verder ga

misschien dat jij nog naar me zwaait

misschien dat ik nog even blijft

misschien dat jij me iets verwijt 

en misschien dat het je spijt,

zoals zo vaak



Want wij 

één en alleen

we gaan voorbij

zonder een woord als iedereen

en jij, waar wil je heen?

je kijkt naar mij,

En ik vraag me af wat goed is voor ons allebei

Op blote voeten loop ik langzaam door,

we zijn één



één, één en alleen,

één en alleen,

maar onderweg 

ooit komen we aan en zijn we één!

één en alleen

één en alleen 

maar onderweg naar nergens

ooit komen we aan en zijn we één!",blof
Laat het licht aan,"Er is een groot tekort aan bedden

Omdat een vrouw probeert te redden

Wat een man al lang verdronken had

Omdat hij in het donker zat



Een man die valt laat zich niet vangen

Als hij niet doodgaat van verlangen

Naar een vrouw die hij niet eerder zag

Alleen omdat ze onder lag



Laat het licht aan

Laat het licht aan



Niets zo blind als twee geliefden

Die nooit eerder samen sliepen

Het vreugdevuur dooft meestal veel te vroeg

En komt maar zelden hoog genoeg



Spaar het kussen en het laken

Blijf er als een hond bij waken

De nacht is lang, de dag is kort

Zorg dat het nooit meer donker wordt



Laat het licht aan

Laat het licht aan

Laat het licht aan

Laat het licht aan

Laat het licht aan",blof
Nergens meer naartoe,"Het knipperlicht bestaat nog 

Maar het waarschuwt jou niet meer 

Je gooide met je ogen dicht 

Het was raak, de eerste keer 

En één ding weet ik zeker 

Dat het altijd dom was, de haast en het gedoe 

Je kunt weer wachten 

Want je bent niet langer moe 

 

Je hoeft nergens meer 

Nergens meer 

Nergens meer naartoe 

Je hoeft nergens meer 

Nergens meer 

Nergens meer naartoe 

 

Voortaan ben je anders 

Een zwerver van de ziel 

Je telt niet meer de dagen 

En je vindt opnieuw het wiel uit 

Dat aan je wagen past, en blij verrast 

Dat het vooruitgaat na zo'n lange tijd 

Gooi je horloge in het water 

Want je raakt het nooit meer kwijt 

 

Je hoeft nergens meer 

Nergens meer 

Nergens meer naartoe 

Je hoeft nergens meer 

Nergens meer 

Nergens meer naartoe 

 

Het knipperlicht bestaat nog 

Het is gerepareerd 

Haal die steen maar uit je broekzak 

Want het waarschuwt jou niet meer 

 

Je hoeft nergens meer 

Nergens meer 

Nergens meer naartoe 

Je hoeft nergens meer 

Nergens meer 

Nergens meer naartoe",blof
Blijf zoals nu,"Zoals je zit op de veranda

Zoals je wild de tuin ik kijkt

Onbereikbaar voor de ogen van de wereld

Alleen voor mij



Zoals je oud lijkt in je wijsheid

Zoals je houdt van de klimop

Onbevangen als je opkijkt naar een vlinder

Alleen voor mij



Blijf

Blijf zoals nu

Blijf

Blijf zoals nu



Zoals je languit ligt te zonnen

Zoals je bruiner wordt dan ik

Onbeholpen als je slaapdronken weer opstaat

Alleen voor mij



Blijf

Blijf zoals nu

Blijf

Blijf zoals nu

Blijf zoals nu

Het is te mooi vandaag

Het is te goed vandaag

Het is mijn hele wezen dat zich afvraagt waarom,

het niet altijd zo kan zijn.

Het is je schoonheid

Het is je goedheid

Het beste dat gebeuren kan

Herken het dan



En blijf

Blijf zoals nu

Blijf

Blijf zoals nu



Zoals je nadenkt over zonlicht

Zoals je altijd bij me blijft

Onaantastbaar lig je naast me in het donker

Alleen voor mij



Blijf

Blijf zoals nu

Blijf

Blijf zoals nu

Blijf zoals nu

Blijf zoals nu



Blijf zoals nu

Blijf zoals nu",blof
Bijna waar ik zijn moet,"Met de zegen van de hoop 

Ben ik tot hier gekomen

En met de regen in mijn rug

Weet ik waar ik ben

Weet ik dat ik dromen mag

 Ik ga nooit meer terug

Nee, ik ga nooit meer terug



Ik ben bijna waar ik zijn moet

Bijna waar ik zijn moet

Bijna op mijn plaats

Die ruimte is van mij 

En mocht ik het niet halen

Dan was ik toch dichtbij

Ik ben bijna waar ik zijn moet



Dichter bij de grond

Heb ik me neergeschreven

En lichter in mijn hoofd

Weet ik wie ik ben

Weet ik dat ik leven zal 

Ik ga nooit meer terug

Nee, ik ga nooit meer terug



Ik ben bijna waar ik zijn moet

Bijna waar ik zijn moet

Bijna op mijn plaats

Die ruimte is van mij

En mocht ik het niet halen

Dan was ik toch dichtbij

Ik ben bijna waar ik zijn moet



Bijna waar ik zijn moet

Bijna waar ik zijn moet

Ik ben bijna waar ik zijn moet

Bijna waar ik zijn moet

Hejejeje",blof
Omarm,"Hoever je gaat

Heeft met afstand niks te maken

Hoogstens met de tijd

En ik weet niet hoe 't komt dat ik weg wil

Maar 't treft me hard en zuiver en het houdt hardnekkig stand

Dus hier sta ik met een uitgestoken hand



Lief, ga dan mee

En omarm me

Omarm me, omarm me



Lief, ga dan mee

En omarm me

Omarm me, omarm me

En breng me nergens heen



Hoe diep je gaat

Heeft met denken niets te maken

Hoogstens met een wil

En 't voelt alsof ik weet waar ik heenga

En het leidt me in het donker en het spot met mijn verstand

Hier sta ik met een uitgestoken hand



Lief, ga dan mee

En omarm me

Omarm me, omarm me



Lief, ga dan mee

En omarm me

Omarm me, omarm me

En breng me nergens heen



Als het daar beter is, dan is het je gegund, oh yeah

En nee ik had nooit gedacht, dat het kwam tot dit punt

Baby, ben ik 't nog? (yeah yeah)

Geef het niet op (yeah yeah)

Hou me vast, laat me niet los



Lief, ga dan mee (yeah yeah)

Omarm m'n lijf en leden (oh)

Omarm m'n waanideeën

Omarm me, omarm me (oeh-oh)



Lief, ga dan mee

Omarm heel mijn verleden

Omarm m'n zeven zeeën

Omarm me, omarm me

En breng me nergens heen",blof
